Product_Category,Product_Name,Product_Value
Car,Mustang 1998,89290.8
Car,Mustang 2000,48399.67
Car,Mustang 1978,86640.57
Car,Mustang 1985,69352.49
Car,Mustang 2001,79951.29
Car,Mustang 1971,75247.51
Car,Mustang 1995,118342.76
Car,Mustang 1996,44588.64
Car,1 Series ,54442.56
Car,1500 Club Coupe 1997,64112.84
Car,1500 Club Coupe 2000,116077.78
Car,200SX 1999,34898.82
Car,240SX 2001,83833.57
Car,240SX 1994,36745.09
Car,2500 Club Coupe 2006,101970.42
Car,2500 Club Coupe 2003,70978.99
Car,280ZX,102417.27
Car,3 Series 1990,16603.63
Car,3 Series 1977,17371.84
Car,3000GT,49327.18
Car,350Z 2000,61902.17
Car,350Z 1997,108404.75
Car,370Z 2005,23201.87
Car,4000CS Quattro,48497.26
Car,430 Scuderia,104203.74
Car,458 Italia,23444.81
Car,4Runner,34499.42
Car,4Runner,51568.92
Car,5 Series,23089.27
Car,6000S,49456.96
Car,5000S,103036.1
Car,500E,26028.35
Car,500SEC,15539.32
Car,599 GTB Fiorano,28075.01
Car,6 Series,85603.86
Car,612 Scaglietti,22209.72
Car,614 Scaglietti,11226.03
Car,7 Series 1997,54696.4
Car,7 Series 2000,58851.22
Car,7 Series 1977,50396.39
Car,7 Series 1975,50604.23
Car,7 Series 2001,96448.42
Car,7 Series 1985,63378.33
Car,9-2X 2001,70812.21
Car,AFX3,110242.84
Car,ALX3,104254
Car,A-23,74073.74
Car,AB-14,99536.05
Car,A-C4,71172.41
Car,A Model 5,107721.68
Car,A Model 6,19453.21
Car,AFX6,54004.36
Car,AQ8,115954.42
Car,A-28,25773.91
Car,A8 2001,64223.02
Car,A8 1997,64725.89
Car,Accent 2002,72181.92
Car,Accent 2000,81358.59
Car,Accord 1998,109533.47
Car,Accord 1999,30878.52
Car,Accord 2000,95363.86
Car,Aerio 1970,98943.3
Car,Aerio 1982,52031.9
Car,Aerostar,69472.34
Car,Alpina B71,19914.69
Car,Alpina B70,39653.3
Car,Altima 2000,65839.72
Car,Altima 1998,59776.2
Car,Altima 1970,86785.97
Car,Altima 1984,105036.31
Car,Altima 2001,59312.71
Car,Amigo 2002,89002.53
Car,Amigo 1990,82885.39
Car,Armada 1997,83298.29
Car,Armada 1998,118053.84
Car,Armada 2000,53801.75
Car,Arnage 2002,84271.13
Car,Aspen ,64011.16
Car,Aspire 1984,48220.21
Car,Aspire 2003,100288.25
Car,Astro 1994,89577.18
Car,Astro 1997,101721.83
Car,Aura,112180.71
Car,Avalanche 2500,106183.17
Car,Avalanche 3500,30555.82
Car,Avalon 2003,115127.31
Car,Avalon S,58291.66
Car,Avalon X,87449.42
Car,Avanti,102338.46
Car,Avenger,78559.59
Car,Aveo 1972,52442.5
Car,Aveo 1984,33390.23
Car,Axiom,103060.41
Car,Aztek,103254.67
Car,Azure,14121.11
Car,Blackwood,62115.45
Car,Blazer,50801.5
Car,Bonneville 2003,111486.59
Car,Bonneville 1991,20881.26
Car,Bonneville 2002,13070.85
Car,Boxster 2006,60827.97
Car,Boxster 1996,25789.12
Car,Boxster 1994,41504.91
Car,Boxster 2004,85828.74
Car,Boxster 2001,29242.9
Car,Brat,57995.61
Car,Bravada 2003,53326.3
Car,Bravada 1996,43290.12
Car,Bronco 1994,109332.26
Car,Bronco 1976,106319.44
Car,Bronco 1971,112790.78
Car,B-Series 2000,93583.46
Car,B-Series 1971,23472.03
Car,B-Series 1986,30302.61
Car,B-Series Plus 2002,37429.63
Car,B-Series Plus 2003,23756.25
Car,C70,96941.43
Car,C8 Double 12 S,61274.66
Car,Cabriolet 1974,38988.79
Car,Cabriolet 1981,86789.43
Car,Cabriolet 1999,95925.93
Car,Camaro 1996,53901.61
Car,Camaro 1991,20299.17
Car,Camaro 2000,83606.44
Car,Camry 2002,76507.55
Car,Camry 1973,117009.84
Car,Camry 1988,98562.01
Car,Camry 2003,68763.89
Car,Capri,109676.94
Car,Caprice,88036.32
Car,Caprice Classic,72999.39
Car,Caravan 1984,104169.17
Car,Caravan 1976,33126.86
Car,Caravan 1984,90611.03
Car,Caravan 1971,105383.68
Car,Cavalier 1983,108241.39
Car,Cavalier 2000,78572.57
Car,Cayenne,56191.63
Car,CC,118365.36
Car,C-Class 2001,48662.29
Car,C-Class 2002,31079.66
Car,C-Class 1998,109667.95
Car,Celica  1996,30568.98
Car,Celica 2002,63182.91
Car,Century,48954.5
Car,Charger,13010.13
Car,Chariot,47057.04
Car,Cherokee,113497.91
Car,Ciera,66351.46
Car,Cirrus,40665.78
Car,Civic 1996,20508.99
Car,Civic 2001,103801.81
Car,Civic 2006,103731.19
Car,CL,30691.13
Car,CL-Class,92481.27
Car,CLK-Class,71324.47
Car,CLS-Class,87476.59
Car,Club Wagon,118481.39
Car,Clubman,111534.18
Car,Coachbuilder 1998,53226.86
Car,Coachbuilder 1974,69345.49
Car,Coachbuilder 1976,33678.55
Car,Colt,117071.71
Car,Compass,111491.54
Car,Concorde 2003,96318.59
Car,Concorde 1974,74681.75
Car,Continental 1975,110912.89
Car,Continental 1983,15220.94
Car,Continental 1992,29730.52
Car,Continental 1991,24858.52
Car,Continental 2000,56628.36
Car,Continental 1973,71236.16
Car,Continental 1984,55955.12
Car,Continental 1977,82886.16
Car,Contour 1983,105774.18
Car,Contour 2004,109392.4
Car,Cooper Countryman,43006.06
Car,Corolla 1990,116751.23
Car,Corolla 1998,37690.13
Car,Corolla 1999,98362.27
Car,Corolla 2000,33344.69
Car,Corolla 2002,36095.96
Car,Corolla 2001,61256.04
Car,Corrado,51544.2
Car,Corvette 1990,92559.18
Car,Corvette 1984,17232.8
Car,Corvette 2002,25329.65
Car,Corvette 2000,68249.02
Car,Corvette 1981,17831.73
Car,Corvette 1973,119289
Car,Corvette 1982,63364.39
Car,Corvette 2001,22701.27
Car,Corvette 2003,87651.64
Car,Corvette 2006,21226.47
Car,Corvette 1998,70924.47
Car,Cougar,108912.53
Car,Countach 2006,103118.53
Car,Countach 1997,47909.17
Car,Coupe,114661.3
Car,Courier,115993.5
Car,Crossfire,30820.78
Car,Crosstour,41212.8
Car,Crown Victoria 1997,56766.91
Car,Crown Victoria 1974,43483.23
Car,CR-V 1972,33512.15
Car,CR-V 1984 ,28286.19
Car,CR-V 1979,42228.66
Car,CR-Z 2000,50163.64
Car,Custom Cruiser,13801.09
Car,Cutlass,118406.4
Car,Cutlass Supreme,106228.3
Car,CX,72806.04
Car,CX-7,48772.28
Car,Daewoo Kalos,82092.94
Car,Daewoo Lacetti,29291.79
Car,Dakota 2000,71759.7
Car,Dakota 1997,111582.13
Car,Dakota Club 2002,43579.78
Car,Dakota Club 1998,13239.9
Car,Dakota Club 1997,24545.17
Car,DB9,12601.69
Car,Defender 90 1998,19076.71
Car,Defender 90 2002,79674.73
Car,DeVille 1998,23855.25
Car,DeVille 1997,22190.55
Car,Diablo 1994 ,83696.92
Car,Diablo 2000,55868.72
Car,Diablo 1997,74121.63
Car,Diablo 1998,93948.55
Car,Diablo 2001,85064.45
Car,Diamante 1994,75323.48
Car,Diamante 1995,119398.1
Car,Diamante 2003,20805.49
Car,Discovery 1994,45469.06
Car,Discovery 2006,97283.58
Car,Discovery 2001,107844.08
Car,Discovery 2002,73547.37
Car,Discovery Series II,94804.38
Car,DTS,63410.58
Car,Durango 1994,107815.79
Car,Durango 1997,92006.81
Car,Durango 1978,25299.55
Car,E250,84443.22
Car,E450,106602.19
Car,E350,114074.84
Car,E-350 Super Duty,105148.12
Car,Echo,89090.31
Car,Echo,69493.64
Car,E-Class 2000,72994.13
Car,E-Class 1978,69032.18
Car,E-Class 1974,105690.37
Car,E-Class 1987,14923.75
Car,E-Class,116154.31
Car,Eclipse 1999,43193.54
Car,Eclipse 1974,20046.42
Car,Econoline E350 1978,12853.93
Car,Econoline E350 1985,57768.5
Car,Econoline E350 1999,39377.89
Car,Elan 1995,90308.41
Car,Elan 1971,50100.67
Car,Elan 1972,58644.56
Car,Elan 1981,24084
Car,Elantra 2000,49266.79
Car,Elantra 2001,25725.17
Car,Elantra 1987,93147.46
Car,Elantra 1999,100494.2
Car,Elantra 2003,68216.93
Car,Eldorado 1997,33310.31
Car,Eldorado 1998,15830.93
Car,Elise 2002,32098.58
Car,Elise 2000,40823.85
Car,Enclave,96671.42
Car,Endeavor,56387.64
Car,Envoy XL 1998,80475.36
Car,Envoy XL 1997,84544.72
Car,Equinox 1974,99498.19
Car,Equinox 1984,51397.79
Car,ES,49065.4
Car,Escalade 1971,33155.99
Car,Escalade 1972,60890.29
Car,Escalade 1975,108875.26
Car,Escalade ESV,19774.37
Car,Escape 1984,42404.57
Car,Escape 1985 ,86573.59
Car,Escape 1986,114259.65
Car,Escort 1988,112271.98
Car,Escort 2006,62080
Car,Escort 2000,104456.67
Car,Escort 1998,65382.35
Car,E-Series 1997,88728.39
Car,E-Series 1996,81461
Car,E-Series 1995,101870.81
Car,E-Series 1997,91422.19
Car,Esprit 1997,105274.47
Car,Esprit 1984,115253.9
Car,EV1,97343.61
Car,EX,73723.82
Car,Excel 2001,108388.62
Car,Excel 1998,30563.52
Car,Excursion,82344.79
Car,Exige,119300.03
Car,Expedition 1976,77057.34
Car,Expedition 1985 ,87554.07
Car,Expedition EL 1988,29977.62
Car,Expedition EL 1984,106377.66
Car,Explorer 1983,61929.11
Car,Explorer 1974,26279.1
Car,Explorer Sport Trac,63658.94
Car,Expo 1988,13123.36
Car,Expo 1986,12437.64
Car,Express 2000,80729.51
Car,Express 2001,75255.22
Car,Express 500,112805.44
Car,Express 1500,110898.79
Car,Express 2500,100838.74
Car,Express 3500,38900.42
Car,Express 4500,38835.65
Car,Express 5500,111580.41
Car,Express 6500,46223.04
Car,F150 1995,28453.7
Car,F150 1998,11744.58
Car,F150 1997,66088.46
Car,F150 1996,14764.03
Car,F150 2000,114483.11
Car,F430 2003,49159.55
Car,F450 2001,72916.21
Car,Fairlane,115129.62
Car,Festiva,18080.52
Car,Fiero,66613.94
Car,Fiesta,119704.72
Car,Firebird 1998,11525.47
Car,Firebird 1997,77446.35
Car,Firebird 1996,85545
Car,Firebird Formula 1997,65404.94
Car,Firebird Trans Am ,25741.91
Car,Firefly 1997,117014.18
Car,Firefly 1975,107881.98
Car,Fit 1998,101736
Car,Fit 1973,36564.04
Car,Fit 1975,93114.06
Car,Fit 1978,17142.51
Car,Fit 1985,80797.72
Car,Five Hundred 1995,74472.27
Car,Five Hundred 1985,65564.44
Car,FJ Cruiser 1996,117239.81
Car,FJ Cruiser 1976,36179.04
Car,FJ Cruiser 1999,63590.4
Car,Fleetwood,84663.89
Car,Focus 1973,49901.52
Car,Focus 1986,64975.76
Car,Forester ,74013.1
Car,Forte,94510.26
Car,Fortwo,98493.44
Car,Fox,73369.68
Car,Freestyle,28889.9
Car,Frontier,106897.58
Car,F-Series 1983,103290.37
Car,F-Series 1999,28166.63
Car,F-Series 1996,81535.79
Car,F-Series 2000 ,32329.27
Car,F-Series 1984,29383.82
Car,F-Series 1975,63399.36
Car,F-Series 2001,37429.93
Car,F-Series Super Duty 1993,104669.6
Car,F-Series Super Duty 1999,51166.66
Car,G,90474.62
Car,G25 1996,52513.88
Car,G25 2000,55453.35
Car,G35 1998,93175.95
Car,G35 1997,73769.65
Car,G37 1996,28170.1
Car,G37 1995,17883.73
Car,G37 1994,98651.61
Car,G6,70534.33
