Product_Name,Product_Value,Product_Category
Alize Gold Passion,8.08,Groceries
Alize Red Passion,7.19,Groceries
Alize Sunset,12.82,Groceries
Almonds Ground Blanched,10.87,Groceries
Amaretto,9.24,Groceries
Anchovy In Oil,8.12,Groceries
Appetizer - Cheese Bites,10.31,Groceries
Appetizer - Crab And Brie,5.3,Groceries
Appetizer - Escargot Puff,8.73,Groceries
Appetizer - Sausage Rolls,9.11,Groceries
Apple - Macintosh,12.58,Groceries
Apron,12.86,Groceries
Arctic Char - Fillets,8.98,Groceries
Arizona - Green Tea,7.79,Groceries
Arizona - Plum Green Tea,8.66,Groceries
Aromat Spice / Seasoning,7.96,Groceries
Arrowroot,12.97,Groceries
Artichokes - Jerusalem,11.76,Groceries
Artichokes - Knobless  White,7.92,Groceries
Asparagus - Green  Fresh,9.26,Groceries
Asparagus - White  Canned,8.79,Groceries
Aspic - Amber,11.16,Groceries
Aspic - Light,8.06,Groceries
Bacardi Breezer - Tropical,9.88,Groceries
Bag Stand,6.95,Groceries
Bagel - Everything Presliced,5.91,Groceries
Bagel - Whole White Sesame,7.89,Groceries
Bagelers,9.97,Groceries
Bagelers - Cinn / Brown,13.56,Groceries
Bagelers - Cinn / Brown Sugar,9.84,Groceries
Baking Soda,11.38,Groceries
Banana,5.79,Groceries
Banana - Leaves,13.61,Groceries
Bananas,12.54,Groceries
Bay Leaf Ground,9.99,Groceries
Beans - Black Bean  Canned,7.28,Groceries
Beans - Black Bean  Preserved,11.86,Groceries
Beans - Fava Fresh,7.47,Groceries
Beans - Fine,9.05,Groceries
Beans - Kidney White,10.8,Groceries
Beans - Navy  Dry,10.46,Groceries
Beans - Yellow,11.16,Groceries
Beef - Baby  Liver,8.12,Groceries
Beef - Bones  Marrow,7.01,Groceries
Beef - Chuck  Boneless,13.23,Groceries
Beef - Diced,7.29,Groceries
Beef - Eye Of Round,13.23,Groceries
Beef - Ground Medium,7.09,Groceries
Beef - Ground  Extra Lean  Fresh,14.62,Groceries
Beef - Kindney  Whole,5.91,Groceries
Beef - Outside  Round,14.46,Groceries
Beef - Roasted  Cooked,10.71,Groceries
Beef - Shank,7.66,Groceries
Beef - Striploin Aa,7.85,Groceries
Beef - Tenderloin,5.85,Groceries
Beef - Texas Style Burger,12.14,Groceries
Beef - Top Butt Aaa,13.45,Groceries
Beef - Top Sirloin - Aaa,12.2,Groceries
Beef Ground Medium,12.02,Groceries
Beef Striploin Aaa,11.66,Groceries
Beef Tenderloin Aaa,11.7,Groceries
Beer - Camerons Auburn,14.54,Groceries
Beer - Guiness,14.94,Groceries
Beer - Mill St Organic,8.3,Groceries
Beer - Molson Excel,12.37,Groceries
Beer - Muskoka Cream Ale,11.03,Groceries
Beer - Rickards Red,8.19,Groceries
Beer - Sleemans Honey Brown,6.18,Groceries
Beer - Tetleys,11.74,Groceries
Beer - True North Lager,10.11,Groceries
Beer - Upper Canada Lager,10.32,Groceries
Berry Brulee,6.87,Groceries
Blueberries,12.22,Groceries
Blueberries - Frozen,9.06,Groceries
Bouillion - Fish,14.34,Groceries
Bowl 12 Oz - Showcase 92012,12.57,Groceries
Brandy - Bar,14.4,Groceries
Brandy Apricot,6.74,Groceries
Bread - Assorted Rolls,10.63,Groceries
Bread - Bagels  Plain,12.89,Groceries
Bread - Bistro Sour,9.82,Groceries
Bread - Bistro White,9.44,Groceries
Bread - Ciabatta Buns,11.21,Groceries
Bread - Crumbs  Bulk,11.32,Groceries
Bread - Dark Rye,7.45,Groceries
Bread - Dark Rye  Loaf,12.27,Groceries
Bread - French Stick,10.49,Groceries
Bread - Frozen Basket Variety,10.42,Groceries
Bread - Hot Dog Buns,14.34,Groceries
Bread - Italian Roll With Herbs,11.2,Groceries
Bread - Italian Sesame Poly,14.07,Groceries
Bread - Malt,6.69,Groceries
Bread - Olive,14.32,Groceries
Bread - Olive Dinner Roll,7.74,Groceries
Bread - Onion Focaccia,9.94,Groceries
Bread - Pita,11.99,Groceries
Bread - Pita  Mini,13.23,Groceries
Bread - Pumpernickle  Rounds,13.73,Groceries
Bread - Roll  Canadian Dinner,13.22,Groceries
Bread - Rosemary Focaccia,13.96,Groceries
Bread - Rosemary Focaccia,8.99,Groceries
Bread - Sour Batard,7.78,Groceries
Bread - Wheat Baguette,8,Groceries
Bread - White  Sliced,8.94,Groceries
Bread Base - Italian,6.37,Groceries
Bread Crumbs - Japanese Style,6.8,Groceries
Bread Roll Foccacia,9.52,Groceries
Bread Sour Rolls,9.25,Groceries
Breadfruit,10.67,Groceries
Broccoli - Fresh,13.41,Groceries
Broom - Corn,12.88,Groceries
Broom And Brush Rack Black,8.07,Groceries
Buffalo - Striploin,10.66,Groceries
Burger Veggie,6.73,Groceries
Butter - Pod,14.42,Groceries
Butter Ripple - Phillips,6.57,Groceries
C - Plus  Orange,8.94,Groceries
Cactus Pads,8.05,Groceries
Cake - Dulce De Leche,12.97,Groceries
Cake Circle  Foil  Scallop,11.53,Groceries
Cake Slab,6.43,Groceries
Calypso - Pineapple Passion,8.75,Groceries
Capicola - Hot,7.65,Groceries
Capicola - Hot,7.48,Groceries
Capon - Breast  Wing On,8.11,Groceries
Capon - Whole,9.07,Groceries
Carbonated Water - Blackcherry,8.66,Groceries
Carbonated Water - Lemon Lime,13.73,Groceries
Carbonated Water - Wildberry,9.32,Groceries
Carrots - Purple  Organic,6.01,Groceries
Catfish - Fillets,8.05,Groceries
Cattail Hearts,6.25,Groceries
Caviar - Salmon,12.15,Groceries
Cheese - Asiago,11.73,Groceries
Cheese - Augre Des Champs,8.96,Groceries
Cheese - Bakers Cream Cheese,14.25,Groceries
Cheese - Bocconcini,8.97,Groceries
Cheese - Boursin  Garlic / Herbs,7.26,Groceries
Cheese - Brick With Pepper,11.29,Groceries
Cheese - Brie Roitelet,14.71,Groceries
Cheese - Brie  Cups 125g,7.67,Groceries
Cheese - Cambozola,12.64,Groceries
Cheese - Camembert,9.01,Groceries
Cheese - Cheddarsliced,11.84,Groceries
Cheese - Cottage Cheese,14.43,Groceries
Cheese - Cream Cheese,11.25,Groceries
Cheese - Gouda Smoked,10.86,Groceries
Cheese - Havarti  Salsa,14.17,Groceries
Cheese - Le Cheve Noir,9.8,Groceries
Cheese - Mascarpone,8.24,Groceries
Cheese - Mozzarella,7.61,Groceries
Cheese - Mozzarella  Buffalo,5.02,Groceries
Cheese - Mozzarella  Shredded,9.08,Groceries
Cheese - Parmesan Cubes,9.22,Groceries
Cheese - Pied De Vents,7.7,Groceries
Cheese - Pont Couvert,8.97,Groceries
Cheese - Romano  Grated,14.48,Groceries
Cheese - Roquefort Pappillon,13.76,Groceries
Cheese - Swiss Sliced,14.11,Groceries
Cheese - Valancey,7.36,Groceries
Cheese - Victor Et Berthold,14,Groceries
Cheese - Wine,9.77,Groceries
Cheese Cloth,10.82,Groceries
Chef Hat 25cm,10.87,Groceries
Cherries - Maraschino jar,6.83,Groceries
Chervil - Fresh,11.04,Groceries
Chevere Logs,7.95,Groceries
Chevril,6.2,Groceries
Chicken - Base,9.21,Groceries
Chicken - Breast  5 - 7 Oz,7.4,Groceries
Chicken - Diced  Cooked,6.7,Groceries
Chicken - Livers,13.25,Groceries
Chicken - Soup Base,14.35,Groceries
Chicken - White Meat With Tender,11.9,Groceries
Chicken - White Meat  No Tender,5.96,Groceries
Chicken - Whole Roasting,5.7,Groceries
Chinese Foods - Cantonese,11.97,Groceries
Chinese Lemon Pork,14.83,Groceries
Chips - Assorted,9.93,Groceries
Chips Potato Salt Vinegar 43g,12.75,Groceries
Chocolate - Chips Compound,10.41,Groceries
Chocolate - Dark Callets,7.83,Groceries
Chocolate - Feathers,8.02,Groceries
Chocolate - Milk Coating,12.14,Groceries
Chocolate - Pistoles  Lactee  Milk,9.72,Groceries
Chocolate Bar - Oh Henry,8.84,Groceries
Chocolate Bar - Smarties,10.61,Groceries
Chutney Sauce,11.69,Groceries
Cinnamon - Ground,7.17,Groceries
Cinnamon - Stick,7.18,Groceries
Clams - Littleneck  Whole,8.88,Groceries
Clementine,5.88,Groceries
Cloves - Whole,6.83,Groceries
Club Soda - Schweppes  355 Ml,7.2,Groceries
Cocoa Butter,7.66,Groceries
Cocoa Powder - Dutched,5.11,Groceries
Coconut - Whole,6.38,Groceries
Coffee - Almond Amaretto,8.69,Groceries
Coffee - Beans  Whole,5.02,Groceries
Coffee - Hazelnut Cream,7.27,Groceries
Coffee - Ristretto Coffee Capsule,5.95,Groceries
Coffee Beans - Chocolate,14.68,Groceries
Coffee Caramel Biscotti,6.23,Groceries
Coke - Classic  355 Ml,7.67,Groceries
Compound - Mocha,6.23,Groceries
Container Clear 8 Oz,7.59,Groceries
Containter - 3oz Microwave Rect.,6.01,Groceries
Cookie - Dough Variety,6.53,Groceries
Cookie - Oatmeal,10.84,Groceries
Cookie Dough - Chunky,9.49,Groceries
Cookie Trail Mix,5.78,Groceries
Cookies - Amaretto,13.35,Groceries
Cookies - Englishbay Chochip,9.99,Groceries
Cookies - Englishbay Wht,13.32,Groceries
Cookies - Oreo  4 Pack,7.58,Groceries
