Product_Category,Product_Name,Product_Value
Movie,Til There Was You,5.5
Movie,ChicagoGirl: The Social Network Takes on a Dictator,46.2
Movie,Three Amigos!,6.32
Movie,Vos amours,6.265
Movie,100 Girls,30.86
Movie,101 Dalmatians,24.205
Movie,10th & Wolf,31.405
Movie,13 Tzameti,32.07
Movie,20000 Years in Sing Sing,26.58
Movie,3 Holiday Tails (Golden Christmas 2: The Second Tail - A),47.58
Movie,33 Scenes from Life (33 sceny z zycia),5.86
Movie,35 Shots of Rum (35 rhums),32.965
Movie,4 Little Girls,11.315
Movie,40 Pounds of Trouble,10.575
Movie,49 Up,40.93
Movie,4th Floor - The,35.86
Movie,52 Tuesdays,26.7
Movie,6954 Kilometric Kotiin,41.45
Movie,7th Dawn- The,43.54
Movie,7th Dawn- The,40.615
Movie,8 Heads in a Duffel Bag,24.38
Movie,88 Minutes,45.925
Movie,9500 Liberty,47.23
Movie,A Blank on the Map,27.6
Movie,A Fugitive from the Past,3.485
Movie,A Grain of Truth,13.585
Movie,A Night in the Show,18.995
Movie,A.K.,44.955
Movie,Action in the North Atlantic,18.215
Movie,Actor's Revenge- An,26.48
Movie,Acts of Worship ,27.655
Movie,Admission,49.945
Movie,Adventure of Sherlock Holmes' Smarter Brother- The,32.87
Movie,Adventures of Ichabod and Mr. Toad- The,0.905
Movie,Adventures of the Wilderness Family- The,49.15
Movie,Affinity,45.38
Movie,Affluenza,18.945
Movie,Age of the Medici - The (Di Cosimo de Medici) ,10.145
Movie,Ah of Life - The,29.06
Movie,Ainoat Oikeat,41.705
Movie,Air Crew,39.45
Movie,Air Guitar Nation,47.12
Movie,Aladin,27.225
Movie,Ali,38.065
Movie,All Blossoms Again: Pedro Costa - Director (Tout refleurit: Pedro Costa - cinéaste),40.44
Movie,All Good Things,16.96
Movie,Almighty Thor,17.245
Movie,Along the Ridge (Anche libero va bene),8.85
Movie,Always,20.065
Movie,American Adobo,8.94
Movie,American Boy: A Profile of: Steven Prince,35.635
Movie,American Heart,32.405
Movie,American Idiots,23.41
Movie,American Movie,43.16
Movie,American Reunion (American Pie 4),10.56
Movie,American - The,11.775
Movie,Americano,33.36
Movie,AmeriQua,36.86
Movie,Amigo,9.6
Movie,Amish Grace,16.05
Movie,An Amazing Couple,22.315
Movie,And Now a Word from Our Sponsor,20.19
Movie,And Soon the Darkness,13.76
Movie,Angel in Cracow (Aniol w Krakowie),21.24
Movie,Angel Named Billy - An,44.39
Movie,Another Woman,44.21
Movie,Antboy II: Revenge of the Red Fury,42.31
Movie,Ants in the Pants 2,15.02
Movie,Apple Dumpling Gang Rides Again - The,46.62
Movie,Appleseed,33.08
Movie,Ararat,10.78
Movie,Arc,2.485
Movie,Arena,8.78
Movie,Aria,16.775
Movie,Armadillo,18.22
Movie,Arrapaho,25.04
Movie,Assassins,10.165
Movie,Asterix & Obelix: Mission Cleopatra,21.03
Movie,Asylum,17.155
Movie,At the Death House Door,23.355
Movie,Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui),10.735
Movie,Babes in Arms,14.4
Movie,Back from Eternity,32.53
Movie,Back Street,9.78
Movie,Back to the Beach,2.49
Movie,Bad Boys,11.415
Movie,Bad Education,35.56
Movie,Baggage Claim,41.33
Movie,Ballad of Nessie - The,14.035
Movie,Balto: Wolf Quest ,17.94
Movie,Bandit - The (Eskiya),11.335
Movie,Barefoot Contessa - The,2.945
Movie,Barefoot Gen 2 (Hadashi no Gen II),19.155
Movie,Bass Ackwards,26.535
Movie,Batman Begins,17.695
Movie,Batman: Under the Red Hood,38.75
Movie,Battle for Brooklyn,14.515
Movie,Battle for Haditha,13.085
Movie,Beauty of the Day (Belle de jour),3.04
Movie,Beginner's Guide to Endings - A,5.35
Movie,Believe Me,10.715
Movie,Ben-Hur: A Tale of the Christ,2.38
Movie,Beneath Hill 60,8.555
Movie,Benigni,33.56
Movie,Benji the Hunted,33.2
Movie,Berlin Calling,19.515
Movie,Big Boss - The (Fists of Fury) (Tang shan da xiong),34.065
Movie,Big Bounce - The,38.12
Movie,Big Green - The,16.705
Movie,Big River Man,42.19
Movie,Birdcage Inn (Paran daemun),30.045
Movie,Birdwatchers (BirdWatchers - La terra degli uomini rossi),32.18
Movie,Bit by Bit,26.375
Movie,Bitter Victory,25.79
Movie,Black Coal - Thin Ice (Bai ri yan huo),20.79
Movie,Black Coffee,43.72
Movie,Black Narcissus,9.13
Movie,Black Peter,19.105
Movie,Black Snake Moan,10.525
Movie,Blazing Guns,1.155
Movie,Blood Beach,45.54
Movie,Blood Money,5.695
Movie,Blood of Redemption,3.24
Movie,Blood Relatives (Liens de sang - Les),48.855
Movie,Blown Away,35.73
Movie,Blubberella,16.63
Movie,Blue Angel - The (Blaue Engel - Der),38.58
Movie,Blue Blood,3.58
Movie,Blue Dahlia - The,44.385
Movie,Blue Sunshine,20.235
Movie,Blue Velvet,24.71
Movie,Bluebeard (Barbe-Bleue),33.615
Movie,Bolt,25.235
Movie,Bombay Talkie,28.73
Movie,Boot Camp,42.885
Movie,Borderland,31.825
Movie,Borderland,25.43
Movie,Boy and the Pirates - The,8.25
Movie,Boyfriends and Girlfriends (a.k.a. My Girlfriend's Boyfriend) (L'ami de mon amie),12.59
Movie,Boys Don't Cry,32.69
Movie,Boys Town,24.16
Movie,Boys - Les,46.635
Movie,Bread and Tulips (Pane e tulipani),5.945
