Product_Category,Product_Name,Product_Value
Plants,Abajo Fleabane,112.0
Plants,Abert's Buckwheat,53.0
Plants,Acacia,50.0
Plants,Acadia Dogwood,173.0
Plants,Adam And Eve,60.0
Plants,Aegle,132.0
Plants,African Caper,32.0
Plants,African Dry Rock Moss,42.0
Plants,African Locust-bean,29.0
Plants,Agropogon,186.0
Plants,Airplant,66.0
Plants,Aji,74.0
Plants,Ajowan Caraway,116.0
Plants,Alaskan Bugseed,72.0
Plants,Albany Hawthorn,54.0
Plants,Alderleaf Mountain Mahogany,67.0
Plants,Aleutian Maidenhair,101.0
Plants,Aleutian Violet,76.0
Plants,Alexander's Rock Aster,103.0
Plants,Allicoche Hedgehog Cactus,152.0
Plants,Alligatorlily,81.0
Plants,Aloe,36.0
Plants,Aloina Moss,55.0
Plants,Alpine Slender Buckwheat,92.0
Plants,Alstonia,51.0
Plants,American Beautyberry,75.0
Plants,American Rockbrake,183.0
Plants,Ammons' Tortula Moss,45.0
Plants,Amur Maple,97.0
Plants,Anderson's Hawksbeard,46.0
Plants,Angelica Tree,45.0
Plants,Anglestem Primrose-willow,40.0
Plants,Annual Fescue,174.0
Plants,Annual Honesty,84.0
Plants,Annual Semaphoregrass,192.0
Plants,Antenoron,51.0
Plants,Anthracothecium Lichen,59.0
Plants,Antitrichia Moss,170.0
Plants,Anzia Lichen,141.0
Plants,Appalachian Mountainmint,107.0
Plants,Aralia,181.0
Plants,Arctic Woodrush,30.0
Plants,Arizona Mule-ears,53.0
Plants,Arizona Needle Grama,135.0
Plants,Arizona Swallow-wort,126.0
Plants,Aroeira Blanca,176.0
Plants,Arrowfeather Threeawn,94.0
Plants,Arrowhead Rattlebox,93.0
Plants,Asian Pigeonwings,94.0
Plants,Asian Virginsbower,127.0
Plants,Aspen Onion,171.0
Plants,Assam Tea,12.0
Plants,Astrothelium Lichen,65.0
Plants,Australian Flatsedge,143.0
Plants,Avispillo,148.0
Plants,Baby Blue Eyes,118.0
Plants,Bachmanniomyces Lichen,105.0
Plants,Bajada Lupine,126.0
Plants,Baker's Cryptantha,19.0
Plants,Baker's Phacelia,81.0
Plants,Balloon Sack Clover,189.0
Plants,Balsampear,55.0
Plants,Bank Catclaw,83.0
Plants,Barneby's Clover,128.0
Plants,Bavarian Timmia Moss,79.0
Plants,Bayamon Stopper,83.0
Plants,Beard Lichen,117.0
Plants,Beath's Milkvetch,148.0
Plants,Beautybush,141.0
Plants,Beaver Indian Breadroot,55.0
Plants,Bedding Conehead,102.0
Plants,Beet,38.0
Plants,Bensoniella,169.0
Plants,Berteron's Sandmat,52.0
Plants,Big Bend Bluegrass,92.0
Plants,Big Galleta,81.0
Plants,Big Sacaton,137.0
Plants,Bigelow's Tansyaster,78.0
Plants,Bighead Rush,70.0
Plants,Bigleaf Crownbeard,133.0
Plants,Big-sage,147.0
Plants,Bill Williams Mountain Giant Hyssop,117.0
Plants,Birch,115.0
Plants,Bitter Fleabane,116.0
Plants,Black Sand Spikerush,188.0
Plants,Blazing Star,134.0
Plants,Blue Spruce,190.0
Plants,Bluebead,130.0
Plants,Bluecurls,12.0
Plants,Bluntpod Bundleflower,173.0
Plants,Bog White Violet,38.0
Plants,Bog Yelloweyed Grass,185.0
Plants,Bolander's Cladidium Lichen,136.0
Plants,Bolander's Woodreed,23.0
Plants,Bonjean's Dicranum Moss,199.0
Plants,Bonneville Pea,52.0
Plants,Bonneville Shootingstar,193.0
Plants,Border Creepingfern,197.0
Plants,Boswellia,173.0
Plants,Bothriospermum,199.0
Plants,Boynton's Dewberry,69.0
Plants,Bracted Phyllostegia,65.0
Plants,Branched Tearthumb,173.0
Plants,Brandegee's Onion,154.0
Plants,Brasiletto,195.0
Plants,Brazilian Dwarf Morning-glory,151.0
Plants,Brewer's Jewelflower,131.0
Plants,Brewer's Willow,57.0
Plants,Bridal Broom,54.0
Plants,Bristle Fern,97.0
Plants,Bristlecup Sandmat,88.0
Plants,Bristly Speargrass,155.0
Plants,Broadbeard Beardtongue,33.0
Plants,Broadleaf Sedge,168.0
Plants,Broadtooth Monkeyflower,147.0
Plants,Brugmansia,188.0
Plants,Bryum Moss,37.0
Plants,Bull Clover,115.0
Plants,Bullhorn Wattle,164.0
Plants,Burnham's Blackberry,130.0
Plants,Butterfly Pea,104.0
Plants,Button Eryngo,164.0
Plants,Cadillo Anaranjado,194.0
Plants,Caespitose Four-nerve Daisy,178.0
Plants,Calico,134.0
Plants,California Indigobush,186.0
Plants,California Lomatium,105.0
Plants,California Milkwort,128.0
